"studyName","Topic","Description"
"Kato1973","Biomass","Subsamples of each organ were taken from each layer and oven-dried at 80 degrees C for more tahn 48 hours (Kato and Segawa 1973). The dry-to-fresh weight ratios of these subsamples were used to calculate total dry weight of each tree component."
"Kato1973","Other variables","M.I. Ishihara, H. Utsugi, H. Tanouchi, and T. Hiura conducted formal search of reference databases and digitized raw data from Kato and Segawa (1973). Based on this reference, meta data was also created by M.I. Ishihara. Species name and family names were converted by M.I. Ishihara according to the following references: Satake Y, Hara H (1989a) Wild flower of Japan Woody plants I (in Japanese). Heibonsha, Tokyo; Satake Y, Hara H (1989b) Wild flower of Japan Woody plants II (in Japanese). Heibonsha, Tokyo."
"Kawahara1981","Sampling strategy","In February 1980, seven or five trees from each of nine plots were felled (A2 and A4: Albizia falcata plantation,  G3: Gmelina arborea plantation, S: Swietenia macrophylla plantation, D: natural Dipterocarp forest). In A4, six sample trees other than Albizia falcata were felled as well. After recording diameters at 0.3 m and 1.3m above the ground, total heights, and the height of the lowest living branch of each sample tree, the fresh weights of the stems, branches, and leaves were determined separately by the stratified-clip technique on one meter of stratum located away from the top and base."
"Kawahara1981","Height","Measured by measuring tape."
"Kawahara1981","Biomass","Small samples of the respective tree components in each stand also were brought to the University of the Philippines at Los Banos for determination of oven-dry weight and leaf area. (Kawahara et al. 1981). Measured fresh weight was converted to dry weight from the ratio of dry to fresh weights."
"Kawahara1981","Other variables","M.I. Ishihara, H. Utsugi, H. Tanouchi, and T. Hiura conducted formal search of reference databases and digitized raw data from Kawahara et al. (1981). Based on this reference, meta data was also created by M.I. Ishihara. Species name and family names were converted by M.I. Ishihara according to the following references: Satake Y, Hara H (1989a) Wild flower of Japan Woody plants I (in Japanese). Heibonsha, Tokyo; Satake Y, Hara H (1989b) Wild flower of Japan Woody plants II (in Japanese). Heibonsha, Tokyo."
"Kawanabe1977","Sampling strategy","The study site was 20 m times 20 m plot situated at ca. 320 m a. s. l. in a subtropical evergreen broadleaf forest. Stand density was 2900 trees/ha. Thriteen sample trees were chosen from the plot taking tree species and DBH distribution into consideration, and felled for destructive sampling."
"Kawanabe1977","Leaf area","Method not reported."
"Kawanabe1977","Stem cross sectional area","Estimated from stem diameter."
"Kawanabe1977","Height","Method not reported."
"Kawanabe1977","Biomass","Method not reported."
"Kawanabe1977","Other variables","M.I. Ishihara, H. Utsugi, H. Tanouchi, and T. Hiura conducted formal search of reference databases and digitized raw data from Kawanabe (1977). Based on this reference, meta data was also created by M. Ishihara. Species name and family names were converted by M. Ishihara according to the following references: Satake Y, Hara H (1989a) Wild flower of Japan Woody plants I (in Japanese). Heibonsha, Tokyo; Satake Y, Hara H (1989b) Wild flower of Japan Woody plants II (in Japanese). Heibonsha, Tokyo."
"Kelly0000a","Sampling strategy","Seedlings of two Eucalyptus species (Eucalytpus pilularis and Eucalyptus populnea) were grown under a treatment combination of ambient or elevated CO2 (380 or 700  ppm) and high or low water availability.  Measurements listed in file represent all digitized seedlings at ~8 months for E. pilularis and ~10.5 months for E. populnea."
"Kelly0000a","Leaf area","All leaves were digitized and leaf area was calculated as the sum of all individual leaves."
"Kelly0000a","Height","Height was measured as the vertical distance from the pot surface (stem base) to the highest apex."
"Kelly0000a","Crown area","Crown surface area was estimated from digitized points, assuming the crown was a convex hull.  "
"Kelly0000a","Growth environment","Glasshouse."
"Kelly0000a","Year collected","2009"
"Kelly0000b","Sampling strategy","Seedlings of two Eucalyptus species (Eucalytpus pilularis and Eucalyptus populnea) were grown under a treatment combination of ambient or elevated CO2 (380 or 700  ppm) and high or low water availability.  Measurements listed in file represent data from all seedlings at final harvest (~10 months for E. pilularis and ~12.5 months for E. populnea)."
"Kelly0000b","Leaf area","All leaves were measured in a leaf area meter (LI-COR 3100, LI-COR, Inc., Lincoln, Nebr.).  "
"Kelly0000b","Height","Height was measured as the vertical distance from the pot surface to the highest apex."
"Kelly0000b","Biomass","Stems, leaves and roots were destructively harvested at end of experiment (~10 months after planting for Eucalyptus pilularis and ~12.5 months for Eucalyptus populnea), and dried for 1 week at 70degreesC."
"Kelly0000b","Growth environment","Glasshouse."
"Kelly0000b","Year collected","2009"
"Kenzo2009","Sampling strategy","All trees were harvested to measure all plant parts variables."
"Kenzo2009","Stem cross sectional area","The area was calculated from stem diameter including bark"
"Kenzo2009","Height","Tree height was defined as the length from ground to the apex of the tallest shoot."
"Kenzo2009","Biomass","Total fresh weight was measured in the field and representative subsamples were dried at 60degC for at least 72h to determine dry biomass."
"Kenzo2009","Traits","Species traits were defined from flora record and our observations."
"Kenzo2009","Growth environment","Growth environment was defined from our observations."
"Kenzo2009","Year collected","2004, 2008"
"Kenzo2009","Acknowledgements","T. Itioka"
"Kenzo2009b","Sampling strategy","All trees were harvested to measure all plant parts variables."
"Kenzo2009b","Stem cross sectional area","The area was calculated from stem diameter including bark"
"Kenzo2009b","Height","Tree height was defined as the length from ground to the apex of the tallest shoot."
"Kenzo2009b","Biomass","Total fresh weight was measured in the field and representative subsamples were dried at 80degC for at least 72h to determine dry biomass."
"Kenzo2009b","Traits","Species traits were defined from flora record and our observations."
"Kenzo2009b","Growth environment","Growth environment was defined from our observations."
"Kenzo2009b","Year collected","2001-2003"
"Kenzo2009b","Acknowledgements","I. Ninomiya, K. Sakurai, J. J. Kendawang and D. Hattori"
"King1994","Sampling strategy",""
"King1994","Leaf area","Leaf bade length x width (spanning pinnae of compound leaves) multiplied by species specific conversion factors (near to 2/3 for most simple leaved species). 1.42 cm diameter discs punched from mature leaves (avoiding major veins) were used for determination of leaf mass per area."
"King1994","Stem cross sectional area","Measured at 4 or 5 non-standardized regularly spaced heights at smooth sections of the stem. Caliper-measured diameters in two perpendicular directions x pi/4 yields the areas, which were used only to calculate stem volumes."
"King1994","Height","Height from stem base to highest stem tip, usually that of the central stem."
"King1994","Crown area","Width in two perpendicular directions x pi/4"
"King1994","Biomass","Estimated from plant part dimensional measurements to get volume (stem, and branches if present), or leaf area, which were in turn multiplied by species-specific measurements of stem density or leaf mass per unt area, respectively. "
"King1994","Growth environment","Understory or gaps in tropical forests"
"King1994","Year collected","1990-1991"
"King1996","Sampling strategy",""
"King1996","Stem cross sectional area","Diameters of all trees <8 cm were measured in two perpendicular directions using calipers and averaged. Diameters of larger trees were calculated from their circumferences. X pi/4 yields the cross section areas. Diameters were measured at 1/10th of tree height, except for large buttressed trees for which diameter was measured above the buttress."
"King1996","Height","Height from stem base to the centre of the highest leaf and from stem base to the lowest leaf."
"King1996","Crown area","Width in two perpendicular directions x pi/4."
"King1996","Growth environment","Understory or gaps in tropical forests. Nearly all trees were in old-growth tropical forest."
"King1996","Year collected","1988-1990"
